                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1298,                 5.0439,                 1.6977,                      0,                      0,                      0,                      0,                 2.1411,                 5.0068,                 1.8595,                  4e-05,                  4e-05,                  4e-05
                      2,                  2.081,                 4.9744,                  1.686,                0.00083,                0.16667,                0.00052,                0.00037,                 1.7304,                 4.7328,                 1.5171,              9.967e-05,              9.967e-05,              9.967e-05
                      3,                 1.9148,                 4.7535,                 1.3451,                 0.0025,                    0.5,                0.00297,                0.00184,                 1.7226,                 4.5363,                 1.1016,             0.00015894,             0.00015894,             0.00015894
                      4,                 1.6069,                 3.6727,                  1.222,                 0.0025,                    0.5,                0.00288,                0.00147,                 1.3579,                 4.0442,                0.99686,             0.00021782,             0.00021782,             0.00021782
                      5,                  1.601,                  2.721,                 1.0694,                0.00333,                0.66667,                 0.0071,                0.00465,                 1.3721,                 3.7951,                0.97809,              0.0002763,              0.0002763,              0.0002763
                      6,                 1.4952,                 3.3917,                  1.118,                0.00333,                0.66667,                0.38462,                0.10637,                  1.444,                 3.8419,                0.96963,             0.00033439,             0.00033439,             0.00033439
                      7,                 1.4655,                 2.1354,                 1.0818,                0.00417,                0.83333,                0.00631,                0.00321,                 1.3404,                 3.6922,                0.93119,             0.00039208,             0.00039208,             0.00039208
                      8,                 1.5633,                 2.1197,                 1.0948,                0.00333,                0.66667,                0.00449,                0.00287,                 1.3376,                 3.7427,                0.93383,             0.00044937,             0.00044937,             0.00044937
                      9,                 1.5032,                 2.4344,                 1.1299,                0.00333,                0.66667,                0.00438,                0.00305,                  1.233,                 3.7259,                0.90909,             0.00050627,             0.00050627,             0.00050627
                     10,                 1.5193,                 2.3531,                 1.0554,                0.00417,                0.83333,                0.00593,                0.00381,                   1.15,                 3.7672,                0.89985,             0.00056277,             0.00056277,             0.00056277
